Configuration,Debug_Success_Rate,Retrieval_Precision,Retrieval_Recall,F1_Score,Avg_Iterations,Avg_Time_Seconds,Impact_Percent,Memory_Usage_GB,Confidence_Score
Full Chronos,90.0,91.0,90.1,90.5,2.2,134.7,0.0,4.8,0.92
No Multi-Code Association,49.0,68.0,62.3,65.0,4.8,98.3,-45.6,2.1,0.71
Static Memory Only,62.0,79.0,74.2,76.5,3.5,112.4,-31.1,1.8,0.78
No Orchestration Loop,55.0,73.0,69.8,71.3,1.0,45.6,-38.9,3.2,0.74
No AGR (Flat Retrieval),41.0,52.0,48.3,50.1,5.2,156.8,-54.4,2.9,0.63
No Pattern Learning,58.0,71.0,68.4,69.7,3.8,143.2,-35.6,3.5,0.75
No Debug Memory,46.0,65.0,61.2,63.0,4.2,125.7,-48.9,0.8,0.69
Limited Context (8K),38.0,59.0,42.3,49.3,6.1,89.4,-57.8,1.2,0.61
Single File Only,32.0,71.0,38.2,49.7,5.8,67.3,-64.4,0.6,0.58
No Test Validation,44.0,73.0,69.8,71.3,3.2,78.9,-51.1,3.8,0.66